Cod;Produto;Grupo
C0029B;Maxixe, maduro, cru, Cucumis anguria <<Gherkin, mature, raw>>;Vegetais
C0030B;Pepino, c/ casca, cru, Cucumis sativus L. <<Cucumber, with peel, raw>>;Vegetais
C0031B;Pimentão, cru, Capsicum annuum L. <<Bell pepper, raw>>;Vegetais
C0032B;Quiabo, cru, Hibiscus esculentus L. <<Okra, raw>>;Vegetais
C0033B;Repolho, cru, Brassica oleracea L. <<Cabbage, white, raw>>;Vegetais
C0034B;Salsa, crua, Petroselium spp. <<Parsley, raw>>;Vegetais
C0035B;Tomate, cru, Lycopersicon esculentum <<Tomato, raw>>;Vegetais
C0037B;Pimentão, verde, cru, Capsicum annuum L. <<Bell pepper, green, raw>>;Vegetais
C0038B;Pimentão, vermelho, cru, Capsicum annuum L. <<Bell pepper, red, raw>>;Vegetais
C0039B;Pimentão, amarelo, cru, Capsicum annuum L. <<Bell pepper, yellow, raw>>;Vegetais
C0040B;Abobrinha, italinana, c/ casca, cozida, s/ sal, drenada, Curcubita pepo L. <<Squash, zucchini, with peel, cooked, without salt, drained>>;Vegetais
C0041B;Batata, inglesa, s/ casca, cozida, s/ sal, drenada, Solanum tuberosum L. <<Potato, with peel, cooked, without salt, drained>>;Vegetais
C0042B;Batata, doce, s/ casca, cozida, s/ sal, drenada, Ipomoea batatas Lam. <<Sweet potato, no peel, cooked, without salt, drained>>;Vegetais
C0043B;Berinjela, cozida, s/ sal, drenada, Solanum melongena L. <<Eggplant, cooked, without salt, drained>>;Vegetais
C0044B;Beterraba, cozida, s/ sal, drenada, Beta vulgaris L. <<Beetroot, cooked, without salt, drained>>;Vegetais
C0045B;Brócolis, flor, cozido, s/ sal, drenado, Brassica oleracea var. ita?lica <<Broccoli, cooked, without salt, drained>>;Vegetais
C0046B;Cará, cozida, s/ sal, drenada, Dioscorea alata L. <<Water yam, cooked, without salt, drained>>;Vegetais
C0047B;Cenoura, s/ casca, cozida, s/ sal, drenada, Daucus carota L. <<Carrot, no peel, cooked, without salt, drained>>;Vegetais
C0048B;Batata, inglesa, frita, s/ sal, Solanum tuberosum L. <<Potato, inglesa, fried, without salt>>;Vegetais
C0049B;Batata, chips, frita, c/ sal, Solanum tuberosum L. <<Potato, fried, chips, without salt>>;Vegetais
C0050B;Chuchu, s/ casca, cozido, s/ sal, drenado, Sechium edule <<Chayote, no peel, cooked, without salt, drained>>;Vegetais
C0051B;Couve, cozida, s/ sal, drenada, Brassica oleracea <<Kale, cooked, without salt, drained>>;Vegetais
C0052B;Couve-flor, cozida, s/ sal, drenada, Brassica oleracea var. botrytis L. <<Cauliflower, cooked, without salt, drained>>;Vegetais
C0053B;Mandioca, s/ casca, cozida, s/ sal, drenada, Manihot esculenta Crantz <<Manioc, no peel, cooked, without salt, drained>>;Vegetais
C0054B;Batata, baroa, cozida, s/ sal, drenada, Arracacia xanthorrhiza Bancrof <<Potato, baroa, cooked, without salt, drained>>, mandioquinha, batata salsa;Vegetais
C0055B;Quiabo, cozido, s/ sal, drenado, Hibiscus esculentus L. <<Okra, baroa, cooked, without salt, drained>>;Vegetais
C0056B;Repolho, cozido, s/ sal, drenado, Brassica oleracea L. <<Cabbage, cooked, without salt, drained>>;Vegetais
C0057B;Salsa, cozida, s/ sal, Petroselium spp. <<Parsley, cooked>>;Vegetais
C0059B;Abóbora, cabotian, s/ casca, cozida, s/ sal, drenada, Cucurbita máxima x Cucurbita moschata <<Pumpkin, cabotia, no peel, cooked, without salt, drained>>;Vegetais
C0060B;Alface, crespa, crua, Lactuca sativa L. <<Lettuce, crinky, raw>>;Vegetais
C0061B;Alface, lisa, crua, Lactuca sativa L. <<Lettuce, smooth, raw>>;Vegetais
C0062B;Alface, roxa, crua, Lactuca sativa L. <<Lettuce, purple, raw>>;Vegetais
C0063B;Alface, americana, crua, Lactuca sativa L. <<Lettuce, american, raw>>;Vegetais
C0064B;Abóbora, paulista, crua, Cucurbita maxima Duchesne <<Pumpkin, winter, raw>>;Vegetais
C0065B;Aipo, cru, Apium graveolens L. <<Celery, paulista, raw>>;Vegetais
C0067B;Alfavaca, crua, Ocimum basilicum L. <<Basil, raw>>;Vegetais
C0068B;Alho-porro, cru, Allium ampeloprasum L. var. porrum <<Leek, raw>>;Vegetais
C0069B;Caruru, cru, Amaranthus deflexus L. <<Amaranthus, raw>>;Vegetais
C0070B;Catalonha, crua, Cichorium intybus L. <<Chicory, raw>>;Vegetais
C0071B;Chicória, crua, Cichorium endivia L. <<Chicory, raw>>;Vegetais
C0072B;Espinafre, folha, cru, Tetragonia expansa <<Spinach, leaves, raw>>;Vegetais
C0074B;Feijão, broto, cru, Vigna radiata (L.) R. Wilczek <<Bean sprouts, raw>>;Vegetais
C0075B;Manjericão, cru, Ocimum basilicum <<Basil, raw>>;Vegetais
C0076B;Mostarda, folha, crua, Brassica juncea (L.) <<Mustard,greens, raw>>;Vegetais
C0077B;Nabo, cru, Brassica rapa <<Turnip, raw>>;Vegetais
C0078B;Palmito, conserva, drenado <<Palm heart, pickle, drain>>;Vegetais
C0079B;Rabanete, cru, Raphanus sativus L. <<Radish, raw>>;Vegetais
C0080B;Repolho, roxo, cru, Brassica oleracea var. capitata <<Purple cabbage, raw>>;Vegetais
C0081B;Rúcula, crua, Eruca sativa L. <<Arugula, raw>>;Vegetais
C0082B;Milk thistle, folha, crua, Sonchus oleraceus L. <<Milk thistle, leaves, raw>>;Vegetais
C0083B;Taioba, folha, crua, Xanthosoma sagittifolium Schott <<Taro, leaves, raw>>;Vegetais
C0084B;Cebolinha, verde, cozida, s/ sal, Allium fistulosum L. <<Chive, cooked>>;Vegetais
C0093B;Pão, de queijo, assado <<Brazilian cheese bread, baked>>;Vegetais
C0101B;Abóbora, moranga, refogada, s/ sal, Cucurbita maxima <<Pumpkin, braised, without salt >>;Vegetais
C0104B;Abobrinha, italian, c/ casca, refogada, s/ sal, Cucurbita pepo L. <<Squash, zucchini, Italian, braised, without salt >>;Vegetais
C0096B;Biscoito, polvilho, doce <<Cookie, cassava, flour >>;Vegetais
C0110B;Cheiro-verde (50% cebolinha verde, 50% salsa), cozido <<Parsley and chive, cooked>>;Vegetais
C0086B;Jurubeba, crua, Solanum spp. <<Jurubeba, raw>>;Vegetais
C0103B;Batata, inglesa, sauté, s/ sal, Solanum tuberosum L. <<Potato, sauteed, without salt>>;Vegetais
C0097B;Polvilho, doce <<Cassava, flour >>;Vegetais
C0095B;Legumes, seleta, enlatada, drenada <<Vegetables, mix, canned, drained>>;Vegetais
C0098B;Tomate, extrato, industrializado <<Tomato, puree, canned>>;Vegetais
C0099B;Tomate, purê, industrializado <<Tomato, puree, canned>>;Vegetais
C0100B;Tomate, molho, industrializado <<Tomato,sauce, canned>>;Vegetais
C0091B;Mandioca, frita, Manihot esculenta Crantz <<Manioc, fried>>;Vegetais
C0089B;Mandioca, farofa, temperada <<Manioc, flour, seasoned>>;Vegetais
C0073B;Espinafre, cozido, s/ sal, drenado, Tetragonia expansa <<Spinach, cooked, drained, without salt>>;Vegetais
C0085B;Coentro, folhas, desidratadas, Coriandrum sativum L. <<Coriander, leaves, dried>>;Vegetais
C0087B;Mandioca, farinha, crua, Manihot esculenta Crantz <<Manioc, flour, raw>>;Vegetais
C0088B;Mandioca, farinha, torrada, Manihot esculenta Crantz <<Manioc, flour, toasted>>;Vegetais
C0092B;Mandioca, puba, farinha, Manihot esculenta Crantz <<Manioc fermented , flour>>;Vegetais
C0094B;Pão, de queijo, cru <<Brazilian cheese bread, raw>>;Vegetais
C0102B;Couve, manteiga, refogada, s/ sal, Brassica oleracea var. Acephala <<Kale, braised, without salt>>;Vegetais
C0105B;Almeirão, refogado, s/ sal, Cichorium intybus <<Endive, braised, without salt>>;Vegetais
C0106B;Catalonha, refogada, s/ sal, Cichorium Intybus L. <<Chicory, braised, without salt>>;Vegetais
C0107B;Espinafre, refogado, s/ sal, Tetragonia expansa <<Spinach, braised, without salt>>;Vegetais
C0109B;Repolho, roxo, refogado, s/ sal, Brassica oleracea var. capitata <<Cabbage, braised, without salt>>;Vegetais
C0267B;Abóbora, cabotian, sopa, s/ sal, Curcubita spp. <<Pumpkin, cabotia, soup, without salt>>;Vegetais
C0268B;Abóbora, cabotian, sopa, c/ sal, Curcubita spp. <<Pumpkin, cabotia, soup, with salt>>;Vegetais
C0354B;Abóbora, moranga, s/ casca, assada, s/ sal, Curcubita spp. <<Pumpkin, with peel, baked, without salt>>;Vegetais
C0355B;Abóbora, moranga, s/ casca, assada, c/ sal, Curcubita spp. <<Pumpkin, with peel, baked, with salt>>;Vegetais
C0166B;Abóbora, moranga, s/ casca e sementes, cozida, drenada, c/ sal, Cucurbita maxima <<Pumpkin, no peel, no seeds, cooked, drained, with salt>>;Vegetais
C0165B;Abóbora, moranga, s/ casca e sementes, cozida, drenada, s/ sal, Cucurbita maxima <<Pumpkin, no peel, no seeds, cooked, drained, without salt>>;Vegetais
C0225B;Abóbora, moranga, s/ casca e sementes, cozida, drenada, c/ óleo de soja, s/ sal, Cucurbita maxima <<Pumpkin, no peel, no seeds, cooked, drained, with soy oil, without salt>>;Vegetais
C0226B;Abóbora, moranga, s/ casca e sementes, cozida, drenada, c/ óleo de soja, c/ sal, Cucurbita maxima <<Pumpkin, moranga, no peel, no seeds, cooked, drained, with soy oil, with salt>>;Vegetais
C0151B;Abóbora, moranga, refogada, c/ sal, Cucurbita maxima <<Pumpkin, moranga, braised, with salt>>;Vegetais
C0227B;Abóbora, pescoço, s/ casca e sementes, cozida, drenada, s/ sal, Cucurbita moschata <<Pumpkin, winter, no peel, no seeds, cooked, drained, without salt>>;Vegetais
C0228B;Abóbora, pescoço, s/ casca e sementes, cozida, drenada, c/ sal, Cucurbita moschata <<Pumpkin, winter, no peel, no seeds, cooked, drained, with salt>>;Vegetais
C0265B;Abobrinha, italiana, c/ casca, à milanesa, s/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, breaded, without salt>>;Vegetais
C0266B;Abobrinha, italiana, c/ casca, à milanesa, c/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, breaded, with salt>>;Vegetais
C0152B;Abobrinha, italiana, c/ casca, cozida, drenada, c/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, cooked, drained, with salt>>;Vegetais
C0231B;Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, s/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, cooked, drained, with soy oil, without salt>>;Vegetais
C0232B;Abobrinha, italiana, c/ casca, cozida, drenada, c/ óleo de soja, c/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, cooked, drained, with soy oil, with salt>>;Vegetais
C0263B;Abobrinha, italiana, c/ casca, grelhada, s/ gordura, s/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, grilled, no oil, without salt>>;Vegetais
C0264B;Abobrinha, italiana, c/ casca, grelhada, s/ gordura, c/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, grilled, no oil, with salt>>;Vegetais
C0153B;Abobrinha, italiana, c/ casca, refogada, c/ sal, Curcubita pepo L. <<Squash, zucchini, Italian, with peel, braised, with salt>>;Vegetais
C0211B;Acelga, cozida, drenada, s/ sal, Beta orientalis L. <<Chard, cooked, drained, without salt>>;Vegetais
C0212B;Acelga, cozida, drenada, c/ sal, Beta orientalis L. <<Chard, cooked, drained, with salt>>;Vegetais
C0201B;Acelga, refogada, s/ sal, Beta orientalis L. <<Chard, braised, without salt>>;Vegetais
C0202B;Acelga, refogada, c/ sal, Beta orientalis L. <<Chard, braised, with salt>>;Vegetais
C0187B;Agrião, cru, salada, ao molho vinagrete, s/ sal, Nasturtium officinale <<Cress, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0188B;Agrião, cru, salada, ao molho vinagrete, c/ sal, Nasturtium officinale <<Cress, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0162B;Agrião, cozido, drenado, s/ sal, Nasturtium officinale <<Cress, cooked, drained, without salt>>;Vegetais
C0219B;Agrião, cozido, drenado, c/ óleo de soja, s/ sal, Nasturtium officinale <<Cress, cooked, drained, with soy oil, without salt>>;Vegetais
C0220B;Agrião, cozido, drenado, c/ óleo de soja, c/ sal, Nasturtium officinale <<Cress, cooked, drained, with soy oil, with salt>>;Vegetais
C0213B;Aipo, cozido, drenado, s/ sal, Apium graveolens L. <<Celery, cooked, drained, without salt>>;Vegetais
C0214B;Aipo, cozido, drenado, c/ sal, Apium graveolens L. <<Celery, cooked, drained, with salt>>;Vegetais
C0215B;Aipo, refogado, s/ sal, Apium graveolens L. <<Celery, braised, without salt>>;Vegetais
C0216B;Aipo, refogado, c/ sal, Apium graveolens L. <<Celery, braised, with salt>>;Vegetais
C0115B;Alho, cozido, Allium sativum L. <<Garlic, cooked>>;Vegetais
C0113B;Alho, refogado c/ óleo de soja, Allium sativum L. <<Garlic, braised, with soy oil>>;Vegetais
C0189B;Almeirão, cru, salada, ao molho vinagrete, s/ sal, Cichorium intybus <<Endive, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0190B;Almeirão, cru, salada, ao molho vinagrete, c/ sal, Cichorium intybus <<Endive, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0209B;Almeirão, cozido, drenado, s/ sal, Cichorium intybus <<Endive, cooked, drained, without salt>>;Vegetais
C0210B;Almeirão, cozido, drenado, c/ sal, Cichorium intybus <<Endive, cooked, drained, with salt>>;Vegetais
C0149B;Almeirão, refogado, c/ sal, Cichorium intybus <<Endive, braised, with salt>>;Vegetais
C0296B;Batata, baroa, cozida, drenada, c/ óleo de soja, s/ sal, Arracacia xanthorrhiza Bancrof (mandioquinha, batata salsa) <<Potato, baroa, cooked, drained, with soy oil, without salt>>;Vegetais
C0297B;Batata, baroa, cozida, drenada, c/ óleo de soja, c/ sal, Arracacia xanthorrhiza Bancrof (mandioquinha, batata salsa) <<Potato, baroa, cooked, drained, with soy oil, with salt>>;Vegetais
C0316B;Batata, baroa, s/ casca, frita, s/ sal, Arracacia xanthorrhiza Bancrof (mandioquinha, batata salsa) <<Potato, baroa, no peel, fried, without salt>>;Vegetais
C0317B;Batata, baroa, s/ casca, frita, c/ sal, Arracacia xanthorrhiza Bancrof (mandioquinha, batata salsa) <<Potato, baroa, no peel, fried, with salt>>;Vegetais
C0294B;Batata, baroa, sauté, s/ sal, Arracacia xanthorrhiza Bancrof (mandioquinha, batata salsa) <<Potato, baroa, sauteed, without salt>>;Vegetais
C0295B;Batata, baroa, sauté, c/ sal, Arracacia xanthorrhiza Bancrof (mandioquinha, batata salsa) <<Potato, baroa, sauteed, with salt>>;Vegetais
C0302B;Batata, doce, s/ casca, assada, s/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, baked, without salt>>;Vegetais
C0303B;Batata, doce, s/ casca, assada, c/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, baked, with salt>>;Vegetais
C0298B;Batata, doce, s/ casca, cozida, drenada, c/ óleo de soja, s/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, cooked, drained, with soy oil, without salt>>;Vegetais
C0299B;Batata, doce, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, cooked, drained, with soy oil, with salt>>;Vegetais
C0304B;Batata, doce, s/ casca, frita, s/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, fried, without salt>>;Vegetais
C0305B;Batata, doce, s/ casca, frita, c/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, fried, with salt>>;Vegetais
C0300B;Batata, doce, s/ casca, sauté, s/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, sauteed, without salt>>;Vegetais
C0301B;Batata, doce, s/ casca, sauté, c/ sal, Ipomea batatas (L.) Lam. <<Sweet potato, no peel, sauteed, with salt>>;Vegetais
C0312B;Batata, inglesa, s/ casca, cozida, salada, ao molho vinagrete, s/ sal, Solanum tuberosum L. <<Potato, no peel, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0313B;Batata, inglesa, s/ casca, cozida, salada, ao molho vinagrete, c/ sal, Solanum tuberosum L. <<Potato,no peel, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0117B;Batata, inglesa, s/ casca, cozida, c/ sal, drenada, Solanum tuberosum L. <<Potato, no peel, cooked, drained, without salt>>;Vegetais
C0314B;Batata, inglesa, s/ casca, cozida, drenada, c/ óleo de soja, s/ sal, Solanum tuberosum L. <<Potato, no peel, cooked, drained, with soy oil, without salt>>;Vegetais
C0315B;Batata, inglesa, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal, Solanum tuberosum L. <<Potato, no peel, cooked, drained, with soy oil, with salt>>;Vegetais
C0292B;Batata, inglesa, cozida, c/ molho branco, s/ sal, Solanum tuberosum L. <<Potato, cooked, with white sauce/bechamel sauce, without salt>>;Vegetais
C0293B;Batata, inglesa, cozida, c/ molho branco, c/ sal, Solanum tuberosum L. <<Potato, cooked, with white sauce/bechamel sauce, with salt>>;Vegetais
C0290B;Batata, inglesa, cozida, c/ molho vermelho, s/ sal, Solanum tuberosum L. <<Potato, cooked, with red sauce/tomato sauce, without salt>>;Vegetais
C0291B;Batata, inglesa, cozida, c/ molho vermelho, c/ sal, Solanum tuberosum L. <<Potato, cooked, with red sauce/tomato sauce, with salt>>;Vegetais
C0141B;Batata, inglesa, s/ casca, assada, c/ sal, Solanum tuberosum L. <<Potato, no peel, baked, with salt>>;Vegetais
C0140B;Batata, inglesa, s/ casca, assada, s/ sal, Solanum tuberosum L. <<Potato, no peel, baked, without salt>>;Vegetais
C0143B;Batata, inglesa, s/ casca, sopa, c/ sal, Solanum tuberosum L. <<Potato, no peel, soup, with salt>>;Vegetais
C0142B;Batata, inglesa, s/ casca, sopa, s/ sal, Solanum tuberosum L. <<Potato, no peel, soup, without salt>>;Vegetais
C0118B;Batata, inglesa, frita, c/ sal, Solanum tuberosum L. <<Potato, fried, with salt>>;Vegetais
C0322B;Batata, inglesa, purê, s/ sal, Solanum tuberosum L. <<Potato, mashed, with salt>>;Vegetais
C0323B;Batata, inglesa, purê, c/ sal, Solanum tuberosum L. <<Potato, mashed, without salt>>;Vegetais
C0170B;Batata, inglesa, sauté, c/ sal, Solanum tuberosum L. <<Potato, sauteed, with salt>>;Vegetais
C0157B;Berinjela, cozida, c/ sal, drenada, Solanum melongena L. <<Eggplant, cooked, drained, with salt>>;Vegetais
C0221B;Berinjela, cozida, drenada, c/ óleo de soja, s/ sal, Solanum melongena L. <<Eggplant, cooked, drained, with soy oil, without salt>>;Vegetais
C0222B;Berinjela, cozida, drenada, c/ óleo de soja, c/ sal, Solanum melongena L. <<Eggplant, cooked, drained, with soy oil, with salt>>;Vegetais
C0195B;Berinjela, cozida, salada, ao molho vinagrete, s/ sal, Solanum melongena L. <<Eggplant, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0196B;Berinjela, cozida, salada, ao molho vinagrete, c/ sal, Solanum melongena L. <<Eggplant, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oi, with salt>>;Vegetais
C0168B;Berinjela, à milanesa, c/ sal, Solanum melongena L. <<Eggplant, breaded, with salt>>;Vegetais
C0167B;Berinjela, à milanesa, s/ sal, Solanum melongena L. <<Eggplant, breaded, without salt>>;Vegetais
C0156B;Berinjela, grelhada, s/ gordura, s/ sal, Solanum melongena L. <<Eggplant, grilled, no fat, without salt>>;Vegetais
C0287B;Berinjela, grelhada, s/ gordura, c/ sal, Solanum melongena L. <<Eggplant, grilled, no fat, with salt>>;Vegetais
C0358B;Berinjela, refogada, s/ sal, Solanum melongena L. <<Eggplant, braised, without salt>>;Vegetais
C0359B;Berinjela, refogada, c/ sal, Solanum melongena L. <<Eggplant, braised, with salt>>;Vegetais
C0324B;Beterraba, crua, salada, ao molho vinagrete, s/ sal, Beta vulgaris L. <<Beetroot, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0325B;Beterraba, crua, salada, ao molho vinagrete, c/ sal, Beta vulgaris L. <<Beetroot, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0326B;Beterraba, refogada, s/ sal, Beta vulgaris L. <<Beetroot, braised, without salt>>;Vegetais
C0327B;Beterraba, refogada, c/ sal, Beta vulgaris L. <<Beetroot, braised, with salt>>;Vegetais
C0150B;Brócolis, flor, cozido, c/ sal, drenado, Brassica oleracea var. ita?lica <<Broccoli, florets, cooked, drained, with salt>>;Vegetais
C0191B;Brócolis, flor, cozido, salada, ao molho vinagrete, s/ sal, Brassica oleracea var. ita?lica <<Broccoli, florets, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0192B;Brócolis, flor, cozido, salada, ao molho vinagrete, c/ sal, Brassica oleracea var. ita?lica <<Broccoli, florets, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0261B;Brócolis, flor, à milanesa, s/ sal, Brassica oleracea var. ita?lica <<Broccoli, florets, breaded, without salt>>;Vegetais
C0262B;Brócolis, flor, à milanesa, c/ sal, Brassica oleracea var. ita?lica <<Broccoli, florets, breaded, with salt>>;Vegetais
C0163B;Brócolis, flor, refogado, s/ sal, Brassica oleracea L. var. italica <<Broccoli, florets, braised, without salt>>;Vegetais
C0164B;Brócolis, flor, refogado, c/ sal, Brassica oleracea L. var. italica <<Broccoli, florets, braised, with salt>>;Vegetais
C0350B;Cará, cozido, drenado, c/ óleo de soja, s/ sal, Dioscorea alata L. <<Water yam, cooked, drained, with soy oil, without salt>>;Vegetais
C0351B;Cará, cozido, drenado, c/ óleo de soja, c/ sal, Dioscorea alata L. <<Water yam, cooked, drained, with soy oil, with salt>>;Vegetais
C0352B;Cará, refogado, s/ sal, Dioscorea alata L. <<Water yam, braised, without salt>>;Vegetais
C0353B;Cará, refogado, c/ sal, Dioscorea alata L. <<Water yam, braised, with salt>>;Vegetais
C0245B;Caruru, cozido, drenado, s/ sal, Amaranthus deflexus L. <<Amaranthus, leaves, cooked, drained, without salt>>;Vegetais
C0246B;Caruru, cozido, drenado, c/ sal, Amaranthus deflexus L. <<Amaranthus, leaves, cooked, drained, with salt>>;Vegetais
C0356B;Cebola, branca, assada, s/ sal, Allium cepa L. <<Onion, white, baked, without salt>>;Vegetais
C0357B;Cebola, branca, assada, c/ sal, Allium cepa L. <<Onion, white, baked, with salt>>;Vegetais
C0114B;Cebola, branca, cozida, s/ sal, Allium cepa L. <<Onion, white, cooked, without salt>>;Vegetais
C0288B;Cebola, cozida, c/ molho vermelho, s/ sal, Allium cepa L. <<Onion, cooked, with red sauce/tomato sauce, without salt>>;Vegetais
C0289B;Cebola, cozida, c/ molho vermelho, c/ sal, Allium cepa L. <<Onion, cooked, with red sauce/tomato sauce, with salt>>;Vegetais
C0197B;Cebola, branca, cozida, salada, ao molho vinagrete, s/ sal, Allium cepa L. <<Onion, white, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0198B;Cebola, branca, cozida, salada, ao molho vinagrete, c/ sal, Allium cepa L. <<Onion, white, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0112B;Cebola, branca, refogada c/ óleo de soja, s/ sal, Allium cepa L. <<Onion, white, braised, with soy oil, without salt>>;Vegetais
C0108B;Cebola e alho, refogados c/ óleo de soja, s/ sal, Allium cepa L./Allium sativum L. <<Onion, white, braised, with soy oil, with salt>>;Vegetais
C0338B;Cenoura, s/ casca, crua, salada, ao molho vinagrete, s/ sal, Daucus carota L. <<Carrot, no peel, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0339B;Cenoura, s/ casca, crua, salada, ao molho vinagrete, c/ sal, Daucus carota L. <<Carrot, no peel, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0340B;Cenoura, s/ casca, cozida, c/ molho vermelho, s/ sal, Daucus carota L. <<Carrot, no peel, cooked, with red sauce/tomato sauce, without salt>>;Vegetais
C0341B;Cenoura, s/ casca, cozida, c/ molho vermelho, c/ sal, Daucus carota L. <<Carrot, no peel, cooked, with red sauce/tomato sauce, with salt>>;Vegetais
C0332B;Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, s/ sal, Daucus carota L. <<Carrot, no peel, cooked, drained, with soy oil, without salt>>;Vegetais
C0333B;Cenoura, s/ casca, cozida, drenada, c/ óleo de soja, c/ sal, Daucus carota L. <<Carrot, no peel, cooked, drained, with soy oil, with salt>>;Vegetais
C0334B;Cenoura, s/ casca, refogada, s/ sal, Daucus carota L. <<Carrot, no peel, braised, without salt>>;Vegetais
C0335B;Cenoura, s/ casca, refogada, c/ sal, Daucus carota L. <<Carrot, no peel, braised, with salt>>;Vegetais
C0336B;Cenoura, s/ casca, sauté, s/ sal, Daucus carota L. <<Carrot, no peel, sauteed, without salt>>;Vegetais
C0337B;Cenoura, s/ casca, sauté, c/ sal, Daucus carota L. <<Carrot, no peel, sauteed, with salt>>;Vegetais
C0205B;Chicória, crua, salada, ao molho vinagrete, s/ sal, Cichorium endivia L. <<Chicory, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0206B;Chicória, crua, salada, ao molho vinagrete, c/ sal, Cichorium endivia L. <<Chicory, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0207B;Chicória, cozida, drenada, s/ sal, Cichorium endivia L. <<Chicory, cooked, drained, without salt>>;Vegetais
C0208B;Chicória, cozida, drenada, c/ sal, Cichorium endivia L. <<Chicory, cooked, drained, with salt>>;Vegetais
C0159B;Chicória, refogada, c/ sal, Cichorium endivia L. <<Chicory, braised, with salt>>;Vegetais
C0158B;Chicória, refogada, s/ sal, Cichorium endivia L. <<Chicory, braised, without salt>>;Vegetais
C0154B;Chuchu, s/ casca, cozido, c/ sal, drenado, Sechium edule <<Chayote, no peel, cooked, drained, with salt>>;Vegetais
C0229B;Chuchu, cozido, drenado, c/ óleo de soja, s/ sal, Sechium edule <<Chayote, no peel, cooked, drained, without salt>>;Vegetais
C0230B;Chuchu, cozido, drenado, c/ óleo de soja, c/ sal, Sechium edule <<Chayote, cooked, drained, with soy oil, with salt>>;Vegetais
C0273B;Chuchu, cozido, c/ molho vermelho, s/ sal, Sechium edule <<Chayote, cooked, with red sauce/tomato sauce, without salt>>;Vegetais
C0274B;Chuchu, cozido, c/ molho vermelho, c/ sal, Sechium edule <<Chayote, cooked, with red sauce/tomato sauce, with salt>>;Vegetais
C0193B;Chuchu, s/ casca, cozido, salada, ao molho vinagrete, s/ sal, Sechium edule <<Chayote, no peel, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
C0194B;Chuchu, s/ casca, cozido, salada, ao molho vinagrete, c/ sal, Sechium edule <<Chayote, no peel, cooked, salad, with sauce (tomato, onion, parsley, vinegar and oil), with salt>>;Vegetais
C0036B;Chuchu, s/ casca, refogado, s/ sal, Sechium edule <<Chayote, no peel, braised, without salt>>;Vegetais
C0058B;Chuchu, s/ casca, refogado, c/ sal, Sechium edule <<Chayote, no peel, braised, with salt>>;Vegetais
C0144B;Couve, cozida, c/ sal, drenada, Brassica oleracea var. Acephala <<Kale, cooked, drained, with salt>>;Vegetais
C0173B;Couve, crua, salada, ao molho vinagrete, s/ sal, Brassica oleracea <<Kale, raw, salad, with sauce (tomato, onion, parsley, vinegar and oil), without salt>>;Vegetais
